,Reactions,Volleys,Curve,Skill Moves,ShortPassing,Penalties,Composure,Vision,Aggression,Weight,Height,ShotPower,Balance,International Reputation,Age,Potential,Finishing,Dribbling,Acceleration,SprintSpeed,Agility,Stamina,Value,Wage,Work Rate,Club,Nationality,Preferred Foot,Position,Body Type,Likability,brand_sponsors
Reactions,1.0,0.4095530952503661,0.42996175181355517,0.4037445808595116,0.5130328171143265,0.37453371629165605,0.7099039151562637,0.5285503174087232,0.42914765670471805,0.2308682315406031,0.17097991769267568,0.44347303258859716,0.212715685987846,0.46364331231681033,0.4273070615351677,0.4958960203978016,0.34984858762367466,0.3938161286994177,0.24582635911283748,0.2504979237035651,-0.3133750345708536,0.4078089959587185,0.5160138404451492,0.47355410144791193,0.1645386791386655,0.2905935256719057,0.12267809357858347,0.11109078819687596,0.1413019991490546,0.11761463674182893,-0.4502411774329788,0.22574632332268277
Volleys,0.4095530952503661,1.0,0.8103732973855388,0.749605120818673,0.7036546690883618,0.8320984565587881,0.6027101160697262,0.7049402591253822,0.34334278018671816,-0.16965131430682046,-0.15106085329905006,0.8351923926490205,0.5244841146789195,0.25646585968959346,0.14137926776226245,0.2571657218202052,0.8843900204958063,0.8128754693187125,0.5809660740146457,0.5663278092995215,-0.11762709609492535,0.5374940209773464,0.28831803214676405,0.25766206672118386,0.20043602533140867,0.06494430146058058,0.04521229435578691,0.018003049785788316,0.6306563489455742,0.021832008531847902,-0.1578975644247615,0.13528813156478026
Curve,0.42996175181355517,0.8103732973855388,1.0,0.775479519720809,0.7793171305530436,0.7566479475459521,0.6243476765257545,0.749749922888064,0.41189562080206954,-0.23835658968258197,-0.1976593976406976,0.7961389431612982,0.5963901555942396,0.24802195591582393,0.14205690462968093,0.2819821822368917,0.7629154842727647,0.8455646241163994,0.6160243250093863,0.5883414683394189,-0.1190930592792908,0.5996124393132107,0.28719262741061347,0.2597370392623798,0.17645631926239327,0.07527979639039704,0.04537495376816049,0.04230226716301243,0.5720172970515299,0.024703828168182257,-0.1614149757383826,0.12896393986821394
Skill Moves,0.4037445808595116,0.749605120818673,0.775479519720809,1.0,0.7382546076679058,0.6981165294145438,0.6006485523471499,0.6835211686941269,0.3646184376554647,-0.22836738087348676,-0.16065514488557286,0.7254999721386994,0.592174288365982,0.22612740024251263,0.027480764344842555,0.3551767284606079,0.7476823073050876,0.843489213394999,0.6631349205370799,0.6359830677945146,-0.03692349654184529,0.5833265413961943,0.3146062698474515,0.26281512966765336,0.1895799061140338,0.08192459666630329,0.053270886573584475,0.03675438296893758,0.5760234257415575,0.03844589865663634,-0.05633791643287228,0.11400896527993802
ShortPassing,0.5130328171143265,0.7036546690883618,0.7793171305530436,0.7382546076679058,1.0,0.6855839598359504,0.7001922739348737,0.7244293387585516,0.6238285178166305,-0.1532909231641932,-0.11359166755445474,0.7787420273760192,0.5541638524638189,0.2642234628363059,0.130302864738955,0.3685966859925908,0.6676296396882958,0.8472046283375723,0.5845951931204474,0.5743456810256945,-0.11434096816603435,0.7280446353586059,0.3246860516332349,0.2943703023067611,0.15570578804299717,0.10220759043034743,0.050770876740725106,0.05038492202418645,0.6708805372192672,0.047848689298535266,-0.16000492795888246,0.13490849832601037
Penalties,0.37453371629165605,0.8320984565587881,0.7566479475459521,0.6981165294145438,0.6855839598359504,1.0,0.5669343027167665,0.6435112750536637,0.35304429066581167,-0.14440821703415227,-0.12717002083736553,0.8004367140284046,0.49993323740475276,0.23618735626391513,0.1378572795196247,0.2270173654136995,0.8402394418850374,0.7749384467281496,0.5477955203204637,0.5365592034847941,-0.10971122605270264,0.5310946993097322,0.2389973885053196,0.2225969133439222,0.17755777690693228,0.05849405864458914,0.04992001240358111,0.028115790582265078,0.6216482678602067,0.02888755480113362,-0.14503671484774472,0.12276885505302229
Composure,0.7099039151562637,0.6027101160697262,0.6243476765257545,0.6006485523471499,0.7001922739348737,0.5669343027167665,1.0,0.6525171541445492,0.5336037750582292,0.09289664873175624,0.06184835291360459,0.6468787378046589,0.35035164239160166,0.4124614288560022,0.37802751321754563,0.434343450738841,0.5424545966416138,0.6092388773316164,0.38321840855219974,0.3879278085454978,-0.2770326482565365,0.5465905206767268,0.4402400431909567,0.41047903933529595,0.16364164677769916,0.19514014286567558,0.09018192667831504,0.06777823248378985,0.26063385998369504,0.06828662644793103,-0.39317512078903755,0.20416944993283517
Vision,0.5285503174087232,0.7049402591253822,0.749749922888064,0.6835211686941269,0.7244293387585516,0.6435112750536637,0.6525171541445492,1.0,0.32167080926833386,-0.15349593000537334,-0.1167216599008699,0.6899878540947367,0.5131847878303669,0.30382352900056514,0.18403607197537744,0.3483472625169809,0.702322399480934,0.7371331565902007,0.4836089085580534,0.45335388549449823,-0.1416307288037559,0.4924023182864606,0.3546379199066015,0.3131546931723412,0.16317945395556244,0.10551453075076252,0.0411783814730734,0.03997769672752601,0.4837163965749998,0.0421723241060011,-0.1983629659770292,0.1605772961658604
Aggression,0.42914765670471805,0.34334278018671816,0.41189562080206954,0.3646184376554647,0.6238285178166305,0.35304429066581167,0.5336037750582292,0.32167080926833386,1.0,0.10620316030370337,0.03364754241824245,0.5048954076904866,0.21384581912467068,0.19263375202701158,0.26155410638157767,0.174714890451101,0.25726062495814894,0.45457127708386197,0.276318226282448,0.30389144413603403,-0.20056620828669397,0.6567807572325619,0.18521757549846926,0.19500908481266502,0.18617054212757495,0.06197713953721027,0.029291415984929896,0.029773288070897342,0.5312724424126354,0.03822819286374283,-0.2801541650485059,0.09017569255391376
Weight,0.2308682315406031,-0.16965131430682046,-0.23835658968258197,-0.22836738087348676,-0.1532909231641932,-0.14440821703415227,0.09289664873175624,-0.15349593000537334,0.10620316030370337,1.0,0.5953845612434332,-0.08801331211579419,-0.4589160875247854,0.14556656892003744,0.2024158260855662,0.011891860109042527,-0.19772342703042675,-0.2881383919334648,-0.30527381716885804,-0.24555271920265448,-0.14556616898970115,-0.09603084625145408,0.04936970637542468,0.06584621025388865,0.2621895725132676,0.07271282093280933,0.06237797374975334,0.23419523998237926,0.41245882233374287,0.30136202199566314,-0.20371156617185643,0.07257705943899723
Height,0.17097991769267568,-0.15106085329905006,-0.1976593976406976,-0.16065514488557286,-0.11359166755445474,-0.12717002083736553,0.06184835291360459,-0.1167216599008699,0.03364754241824245,0.5953845612434332,1.0,-0.09643350854648357,-0.27589185706942077,0.10292678599084552,0.04503962345287176,0.03232845210043677,-0.16551277758505395,-0.21582476153264932,-0.18905202290345519,-0.14264045083555071,-0.0326436805733154,-0.08258823074354356,0.02142559272446688,0.02979856193398631,0.3284901091225746,0.04643901233540843,0.027910320401245116,0.3074253698761415,0.37671525242528714,0.3074094488302734,-0.04584608918966258,0.0462597077476757
