OverallQual,GrLivArea_Log,NbHd_num,GarageCars,ExtQ_num,KiQ_num,BsQ_num,TotalBsmtSF,FullBath,YearBuilt,YearRemodAdd,Fireplaces,MasVnrArea,MSZ_num
7,7.444248649496705,2,2.0,3,3,2,856.0,2,2003,2003,0,196.0,3
6,7.140453043101158,2,2.0,2,2,2,1262.0,2,1976,1976,1,0.0,3
7,7.487733761436444,2,2.0,3,3,2,920.0,2,2001,2002,1,162.0,3
7,7.448333860897476,2,3.0,2,3,1,756.0,1,1915,1970,1,0.0,3
8,7.6953031349635665,3,3.0,3,3,2,1145.0,2,2000,2000,1,350.0,3
5,7.216709486709457,1,2.0,2,2,2,796.0,1,1993,1995,0,0.0,3
8,7.434847875211999,2,2.0,3,3,3,1686.0,2,2004,2005,1,186.0,3
7,7.644919344958857,2,2.0,2,2,2,1107.0,2,1973,1973,2,240.0,3
7,7.480992162869525,1,2.0,2,2,1,952.0,2,1931,1950,2,0.0,2
5,6.981934677156389,1,1.0,2,2,1,991.0,1,1939,1950,2,0.0,3
5,6.946975992135418,1,1.0,2,2,1,1040.0,1,1965,1965,0,0.0,3
9,7.751045117971802,3,3.0,4,4,3,1175.0,3,2005,2006,2,286.0,3
5,6.815639990074331,1,1.0,2,2,1,912.0,1,1962,1962,0,0.0,3
7,7.309212365692763,2,3.0,3,3,2,1494.0,2,2006,2007,1,306.0,3
6,7.133295954896068,1,1.0,2,2,1,1253.0,1,1960,1960,1,212.0,3
7,6.74993119378857,1,2.0,2,2,1,832.0,1,1929,2001,0,0.0,2
6,6.911747300251674,1,2.0,2,2,1,1004.0,1,1970,1970,1,180.0,3
4,7.16703787691222,1,2.0,2,2,1,0.0,2,1967,1967,0,0.0,3
5,7.01571242048723,1,2.0,2,3,1,1114.0,1,2004,2004,0,0.0,3
5,7.199678345691172,1,1.0,2,2,1,1029.0,1,1958,1965,0,0.0,3
8,7.773173680482536,3,3.0,3,3,3,1158.0,3,2005,2006,1,380.0,3
7,7.010311867307229,1,1.0,2,3,1,637.0,1,1930,1950,1,0.0,2
8,7.492760300922379,2,2.0,3,3,2,1777.0,2,2002,2002,1,281.0,3
5,6.966024187106113,1,2.0,2,2,2,1040.0,1,1976,1976,1,0.0,2
5,6.966024187106113,1,1.0,2,3,1,1060.0,1,1968,2001,1,0.0,3
8,7.3777589082278725,3,3.0,3,3,2,1566.0,2,2007,2007,1,640.0,3
5,6.802394763324311,1,2.0,2,3,1,900.0,1,1951,2000,0,0.0,3
8,7.440733707389261,3,3.0,3,3,3,1704.0,2,2007,2008,1,200.0,3
5,7.3777589082278725,1,1.0,2,2,1,1484.0,1,1957,1997,2,0.0,3
4,6.253828811575473,1,1.0,2,1,1,520.0,1,1927,1950,0,0.0,2
4,7.183111701743281,1,1.0,2,2,1,649.0,1,1920,1950,0,0.0,1
5,7.113142108707088,1,1.0,2,3,1,1228.0,1,1966,2006,0,0.0,3
8,7.1180162044653335,2,2.0,3,3,3,1234.0,2,2007,2007,0,0.0,3
5,7.438383530044307,1,2.0,2,3,1,1398.0,1,1959,1959,1,0.0,3
9,7.353081920515432,3,2.0,4,4,3,1561.0,2,2005,2005,1,246.0,3
8,7.804659297056102,3,3.0,3,3,3,1117.0,3,2004,2005,1,132.0,3
5,7.00033446027523,2,2.0,2,2,2,1097.0,1,1994,1995,0,0.0,3
