Principal_Components,org,rand,strat,orgc,randc,stratc,marker
1,58.17,55.07,58.29,58.17,55.07,58.29,1
2,9.92,10.65,9.86,68.09,65.72,68.15,2
3,6.32,6.26,5.77,74.41,71.98,73.92,3
4,5.69,5.93,5.15,80.1,77.91,79.07000000000001,4
5,4.68,4.97,4.65,84.78,82.88,83.72000000000001,5
6,3.52,3.84,3.63,88.3,86.72,87.35000000000001,6
7,2.59,2.84,2.65,90.89,89.56,90.00000000000001,7
8,2.13,2.13,2.34,93.02,91.69,92.34000000000002,8
9,1.8,1.81,1.93,94.82,93.5,94.27000000000002,9
10,1.65,1.67,1.77,96.47,95.17,96.04000000000002,10
11,1.46,1.62,1.62,97.92999999999999,96.79,97.66000000000003,11
12,1.02,1.4,1.16,98.94999999999999,98.19000000000001,98.82000000000002,12
13,0.58,1.17,0.66,99.52999999999999,99.36000000000001,99.48000000000002,13
14,0.47,0.64,0.5,99.99999999999999,100.00000000000001,99.98000000000002,14
